term,match_method,blob_key,blob_url
Almashlab ekish dalalarining agrotexnik pasporti,exact/base,Almashlab ekish dalalarining agrotexnik pasporti,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Almashlab-ekish-dalalarining-agrotexnik-pasporti.jpg
Almashlab ekish rotatsiyasi,exact/base,Almashlab ekish rotatsiyasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Almashlab-ekish-rotatsiyasi.jpg
AMB bakterial o‘g‘iti,exact/base,AMB bakterial o‘g‘iti,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/AMB-bakterial-o‘g‘iti.jpg
Amfimiksis,exact/base,Amfimiksis,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Amfimiksis.jpg
Ammiakli o‘g‘it,exact/base,Ammiakli o‘g‘it,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ammiakli-o‘g‘it.jpg
Ammiakli-nitratli o‘g‘itlar,fuzzy>=0.94,Ammiakli nitratli o‘g‘it,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ammiakli-nitratli-o‘g‘it.jpg
Ammofos,exact/base,Ammofos,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ammofos.jpg
Ammofoska,exact/base,Ammofoska,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ammofoska.jpg
Ammoniy nitrat,exact/base,Ammoniy nitrat,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ammoniy-nitrat.jpg
Ammoniy sulfat,exact/base,Ammoniy sulfat,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ammoniy-sulfat.jpg
Ampelografiya,exact/base,Ampelografiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ampelografiya.jpg
Ampelometriya,exact/base,Ampelometriya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ampelometriya.jpg
Ampel o‘simliklar,exact/base,Ampel o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ampel-o‘simliklar.jpg
Ampelopsis,exact/base,Ampelopsis,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ampelopsis.jpg
Ampelopedologiya,exact/base,Ampelopedologiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ampelopedologiya.jpg
Analitik seleksiya,exact/base,Analitik seleksiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Analitik-seleksiya.jpg
Analitik chatishtirish,exact/base,Analitik chatishtirish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Analitik-chatishtirish.jpg
Ananas (Ananas comosus (L.) Merr.),exact/base,Ananas,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ananas.jpg
Ananas mevasi,exact/base,Ananas mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ananas-mevasi.jpg
Anemofil o‘simliklar,exact/base,Anemofil o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anemofil-o‘simliklar.jpg
Anemoxor o‘simliklar,exact/base,Anemoxor o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anemoxor-o‘simliklar.jpg
Anjir (Ficus carica L.),exact/base,Anjir,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anjir.jpg
Anjir mevasi,exact/base,Anjir mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anjir-mevasi.jpg
Anjirzor,exact/base,Anjirzor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anjirzor.jpg
Anjir shaftoli (Prunus persica var. platycarpa),exact/base,Anjir shaftoli,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anjir-shaftoli.jpg
Anor (Punica granatum L.),exact/base,Anor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anor.jpg
Anor mevasi,exact/base,Anor mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anor-mevasi.jpg
Anordoshlar (Punicaceae; zamonaviy tasnifda Lythraceae tarkibida),exact/base,Anordoshlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anordoshlar.jpg
Anorzor,exact/base,Anorzor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Anorzor.jpg
Antekologiya,exact/base,Antekologiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Antekologiya.jpg
Antotsianlar,missing,,
Antraknoz,exact/base,Antraknoz,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Antraknoz.jpg
Antropofitlar,exact/base,Antropofitlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Antropofitlar.jpg
Apeks,exact/base,Apeks,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Apeks.jpg
Apelsin (Citrus × sinensis (L.) Osbeck),exact/base,Apelsin,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Apelsin.jpg
Apelsin mevasi,exact/base,Apelsin mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Apelsin-mevasi.jpg
Aprobatsiya,exact/base,Aprobatsiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aprobatsiya.jpg
Aralash ekinlar,exact/base,Aralash ekinlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aralash-ekinlar.jpg
Aralash o‘g‘itlar,exact/base,Aralash o‘g‘itlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aralash-o‘g‘itlar.jpg
Araukariya (Araucaria Juss.),exact/base,Araukariya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Araukariya.jpg
Arboretum,exact/base,Arboretum,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Arboretum.jpg
Arboritsidlar,exact/base,Arboritsidlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Arboritsidlar.jpg
Areal,exact/base,Areal,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Areal.jpg
Arid iqlim,exact/base,Arid iqlim,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Arid-iqlim.jpg
Ariq,exact/base,Ariq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ariq.jpg
Ariqcha,exact/base,Ariqcha,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ariqcha.jpg
Artezian quduq,exact/base,Artezian quduq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Artezian-quduq.jpg
Artishok (Cynara scolymus L.),exact/base,Artishok,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Artishok.jpg
Arxeofitlar,exact/base,Arxeofitlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Arxeofitlar.jpg
Archa (Juniperus L.),exact/base,Archa,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Archa.jpg
Archazor,exact/base,Archazor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Archazor.jpg
Asosiy o‘g‘it,exact/base,Asosiy o‘g‘it,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Asosiy-o‘g‘it.jpg
Assimilatsiya,exact/base,Assimilatsiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Assimilatsiya.jpg
Assimilatsion va suruvchi yuzalarning ko‘payish (o‘sish) fazasi,fuzzy>=0.94,Assimilatsion va so‘ruvchi yuzalarning ko‘payish (o‘sish) fazasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Assimilatsion-va-so‘ruvchi-yuzalarning-ko‘payish-(o‘sish)-fazasi.jpg
Atirgul (Rosa L.),exact/base,Atirgul,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Atirgul.jpg
Avirulentlik,exact/base,Avirulentlik,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avirulentlik.jpg
Avokado (Persea americana Mill.),exact/base,Avokado,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avokado.jpg
Avokado mevasi,exact/base,Avokado mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avokado-mevasi.jpg
Avtofertil,exact/base,Avtofertil,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtofertil.jpg
Avtofertil o‘simliklar,exact/base,Avtofertil o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtofertil-o‘simliklar.jpg
Avtogamiya,exact/base,Avtogamiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtogamiya.jpg
Avtoliz,exact/base,Avtoliz,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtoliz.jpg
Avtosteril,exact/base,Avtosteril,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtosteril.jpg
Avtotrof organizmlar,exact/base,Avtotrof organizmlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtotrof-organizmlar.jpg
Avtotropizm,exact/base,Avtotropizm,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Avtotropizm.jpg
Azot (N),exact/base,Azot,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Azot.jpg
Azotlamoq,exact/base,Azotlamoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Azotlamoq.jpg
Azotobakterin,exact/base,Azotobakterin,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Azotobakterin.jpg
Azotli o‘g‘itlar,exact/base,Azotli o‘g‘itlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Azotli-o‘g‘itlar.jpg
Bahorgi shudgor,exact/base,Bahorgi shudgor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bahorgi-shudgor.jpg
Bakterial o‘g‘itlar,exact/base,Bakterial o‘g‘itlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bakterial-o‘g‘itlar.jpg
Bakterioz,exact/base,Bakterioz,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bakterioz.jpg
Balxi tut (Morus alba L. var. balkhi),exact/base,Balxi tut,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Balxi-tut.jpg
Bambuk (Bambusoideae),exact/base,Bambuk,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bambuk.jpg
Banan (Musa × paradisiaca L.),exact/base,Banan,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Banan.jpg
Banan mevasi,exact/base,Banan mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Banan-mevasi.jpg
Banandoshlar (Musaceae),exact/base,Banandoshlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Banandoshlar.jpg
Band,exact/base,Band,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Band.jpg
Baqlajon (Solanum melongena L.),exact/base,Baqlajon,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Baqlajon.jpg
Baraka,exact/base,Baraka,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Baraka.jpg
Bargak,exact/base,Bargak,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bargak.jpg
Barg,exact/base,Barg,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg.jpg
Barg asosi,exact/base,Barg asosi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-asosi.jpg
Barg bandi,exact/base,Barg bandi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-bandi.jpg
Barg bujmayishi,exact/base,Barg bujmayishi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-bujmayishi.jpg
Barg dog‘lanishi,exact/base,Barg dog‘lanishi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-dog‘lanishi.jpg
Barg kuyishi,exact/base,Barg kuyishi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-kuyishi.jpg
Barg nekrozi,exact/base,Barg nekrozi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-nekrozi.jpg
Barg plastinkasi,exact/base,Barg plastinkasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-plastinkasi.jpg
Barg tomiri,exact/base,Barg tomiri,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-tomiri.jpg
Barg sathi indeksi,exact/base,Barg sathi indeksi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-sathi-indeksi.jpg
Bargdan oziqlantirish,exact/base,Bargdan oziqlantirish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bargdan-oziqlantirish.jpg
Barg og‘izchasi,exact/base,Barg og‘izchasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-og‘izchasi.jpg
Barg to‘kilishi,exact/base,Barg to‘kilishi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barg-to‘kilishi.jpg
Barglamoq,exact/base,Barglamoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Barglamoq.jpg
Bargli sabzavotlar,exact/base,Bargli sabzavotlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bargli-sabzavotlar.jpg
Bag‘az,exact/base,Bag‘az,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bag‘az.jpg
Bachki,exact/base,Bachki,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bachki.jpg
Bachki chiqarmoq,exact/base,Bachki chiqarmoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bachki-chiqarmoq.jpg
Bedona,exact/base,Bedona,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bedona.jpg
Bedona tut,exact/base,Bedona tut,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bedona-tut.jpg
Begona o‘tlar,exact/base,Begona o‘tlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Begona-o‘tlar.jpg
Behi (Cydonia oblonga Mill.),exact/base,Behi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Behi.jpg
Behi mevasi,exact/base,Behi mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Behi-mevasi.jpg
Behizor,exact/base,Behizor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Behizor.jpg
Behishti,exact/base,Behishti,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Behishti.jpg
Behtar,exact/base,Behtar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Behtar.jpg
Belkurak,exact/base,Belkurak,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Belkurak.jpg
Bigaradiya (Citrus aurantium L.),exact/base,Bigaradiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bigaradiya.jpg
Bilvosita tanlash,exact/base,Bilvosita tanlash,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bilvosita-tanlash.jpg
Binafsha (Viola odorata L.),exact/base,Binafsha,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Binafsha.jpg
Biofabrika,exact/base,Biofabrika,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Biofabrika.jpg
Biolaboratoriya,exact/base,Biolaboratoriya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Biolaboratoriya.jpg
Biologik himoya usuli,exact/base,Biologik himoya usuli,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Biologik-himoya-usuli.jpg
Biologik hosil,exact/base,Biologik hosil,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Biologik-hosil.jpg
Biologik preparatlar,exact/base,Biologik preparatlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Biologik-preparatlar.jpg
Biotip,exact/base,Biotip,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Biotip.jpg
Bir gulli o‘simliklar,exact/base,Bir gulli o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bir-gulli-o‘simliklar.jpg
Bir uyli o‘simliklar,exact/base,Bir uyli o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bir-uyli-o‘simliklar.jpg
Bir yillik o‘simliklar,exact/base,BIr yillik o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/BIr-yillik-o‘simliklar.jpg
Boboyi,exact/base,Boboyi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Boboyi.jpg
Bobuna (Matricaria chamomilla L. / Chamomilla recutita (L.) Rauschert),exact/base,Bobuna,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bobuna.jpg
Bodom (Prunus dulcis (Mill.) D.A.Webb) (Amygdalus L.),exact/base,Bodom,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bodom.jpg
Bodom mevasi,exact/base,Bodom mevasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bodom-mevasi.jpg
Bodomiy,exact/base,Bodomiy,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bodomiy.jpg
Bodomzor,exact/base,Bodomzor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bodomzor.jpg
Bodrezak (Viburnum opulus L.),exact/base,Bodrezak,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bodrezak.jpg
Bodring (Cucumis sativus L.),exact/base,Bodring,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bodring.jpg
Bordo suyuqligi,exact/base,Bordo suyuqligi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bordo-suyuqligi.jpg
Borona,exact/base,Borona,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Borona.jpg
Boronalamoq,exact/base,Boronalamoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Boronalamoq.jpg
Bostirib sug‘orish,exact/base,Bostirib sug‘orish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bostirib-sug‘orish.jpg
Bog‘,exact/base,Bog‘,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bog‘.jpg
Bog‘bon,exact/base,Bog‘bon,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bog‘bon.jpg
Bog‘bonchilik,exact/base,Bog‘bonchilik,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bog‘bonchilik.jpg
Bog‘dorchilik,exact/base,Bog‘dorchilik,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bog‘dorchilik.jpg
Bog‘ inventari,exact/base,Bog‘ inventari,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bog‘-inventari.jpg
Bog‘ malhami,exact/base,Bog‘ malhami,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bog‘-malhami.jpg
Boshlang‘ich urug‘chilik,fuzzy>=0.94,Boshlangich urug‘chilik,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Boshlangich-urug‘chilik.jpg
Buldenej (Viburnum opulus ‘Boule de Neige’),exact/base,Buldenej,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Buldenej.jpg
Buqoq,exact/base,Buqoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Buqoq.jpg
Buta,exact/base,Buta,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Buta.jpg
Butasimon,exact/base,Butasimon,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Butasimon.jpg
Butazor,exact/base,Butazor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Butazor.jpg
Butash,exact/base,Butash,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Butash.jpg
Butoq,exact/base,Butoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Butoq.jpg
Butoqlamoq,exact/base,Butoqlamoq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Butoqlamoq.jpg
Buvaki,exact/base,Buvaki,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Buvaki.jpg
Ohakli o‘g‘itlar,exact/base,Ohakli o‘g‘itlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ohakli-o‘g‘itlar.jpg
Bo‘rtma,exact/base,Bo‘rtma,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bo‘rtma.jpg
Bo‘rtma nematodalar (Meloidogyne),exact/base,Bo‘rtma nematodalar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bo‘rtma-nematodalar.jpg
Bo‘z yer,missing,,
Bo‘z tuproq,exact/base,Bo‘z tuproq,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Bo‘z-tuproq.jpg
Dala aprobatsiyasi,exact/base,Dala aprobatsiyasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dala-aprobatsiyasi.jpg
Dala ishlari sifatini baholash,exact/base,Dala ishlari sifatini baholash,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dala-ishlari-sifatini-baholash.jpg
Dala qandalasi (Lygus pratensis L.),exact/base,Dala qandalasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dala-qandalasi.jpg
Dam berilgan shudgor,exact/base,Dam berilgan shudgor,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dam-berilgan-shudgor.jpg
Danak,exact/base,Danak,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Danak.jpg
Danakli mevalar,exact/base,Danakli mevalar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Danakli-mevalar.jpg
Danakli meva daraxtlari,exact/base,Danakli meva daraxtlari,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Danakli-meva-daraxtlari.jpg
Daraxt,exact/base,Daraxt,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Daraxt.jpg
Daraxt yelimi,exact/base,Daraxt yelimi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Daraxt-yelimi.jpg
Davlat nav sinash tarmog‘i,exact/base,Davlat nav sinash tarmog‘i,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Davlat-nav-sinash-tarmog‘i.jpg
Davlat urug‘chilik nazorati,exact/base,Davlat urug‘chilik nazorati,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Davlat-urug‘chilik-nazorati.jpg
Degradatsiya,exact/base,Degradatsiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Degradatsiya.jpg
Dekorativ,exact/base,Dekorativ,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dekorativ.jpg
Dendrariy,exact/base,Dendrariy,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dendrariy.jpg
Dendrologiya,exact/base,Dendrologiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dendrologiya.jpg
Dendropark,exact/base,Dendropark,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Dendropark.jpg
Desikantlar,exact/base,Desikantlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Desikantlar.jpg
Desikatsiya,missing,,
Devastatsiya,exact/base,Devastatsiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Devastatsiya.jpg
Devorgul (Ligustrum vulgare L.),exact/base,Devorgul,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Devorgul.jpg
